"Month";"USAGDP"
"1960-01";135662000000.0
"1960-04";135270000000.00002
"1960-07";136401000000.00002
"1960-10";135049250000.0
"1961-01";136254500000.0
"1961-04";138886250000.0
"1961-07";141916000000.0
"1961-10";145153000000.0
"1962-01";148503250000.0
"1962-04";150091500000.0
"1962-07";152256750000.0
"1962-10";153070000000.0
"1963-01";155418000000.0
"1963-04";157438000000.0
"1963-07";161111000000.0
"1963-10";163484500000.0
"1964-01";167455500000.0
"1964-04";169668500000.0
"1964-07";173007750000.0
"1964-10";174329750000.0
"1965-01";179447500000.0
"1965-04";182547750000.0
"1965-07";187330750000.0
"1965-10";192964250000.0
"1966-01";198933500000.0
"1966-04";201245250000.0
"1966-07";204909500000.0
"1966-10";208325500000.0
"1967-01";211042500000.0
"1967-04";212245750000.0
"1967-07";216308250000.0
"1967-10";220359750000.0
"1968-01";227346750000.0
"1968-04";233586000000.0
"1968-07";237706250000.0
"1968-10";242007500000.0
"1969-01";248334250000.0
"1969-04";252255000000.0
"1969-07";257488999999.99997
"1969-10";259536749999.99997
"1970-01";262800000000.0
"1970-04";266843750000.0
"1970-07";271514750000.0
"1970-10";272152000000.0
"1971-01";283789000000.0
"1971-04";289067750000.0
"1971-07";294418750000.0
"1971-10";297574250000.0
"1972-01";307652250000.0
"1972-04";316592250000.0
"1972-07";322641500000.0
"1972-10";332226000000.0
"1973-01";344372500000.0
"1973-04";353471750000.0
"1973-07";358459500000.0
"1973-10";369072250000.0
"1974-01";372802250000.0
"1974-04";382514000000.0
"1974-07";390006500000.0
"1974-10";399919750000.0
"1975-01";404029000000.0
"1975-04";412963250000.0
"1975-07";427455000000.0
"1975-10";440457750000.0
"1976-01";455121750000.0
"1976-04";463083000000.0
"1976-07";471639500000.0
"1976-10";483568250000.0
"1977-01";497162000000.0
"1977-04";513977250000.0
"1977-07";529618250000.0
"1977-10";541067500000.0
"1978-01";550690000000.0
"1978-04";582908250000.0
"1978-07";598763250000.0
"1978-10";619237250000.0
"1979-01";631652500000.0
"1979-04";647811750000.0
"1979-07";666891250000.0
"1979-10";680970750000.0
"1980-01";697460500000.0
"1980-04";699338000000.0
"1980-07";714120750000.0
"1980-10";746389250000.0
"1981-01";781051500000.0
"1981-04";790633000000.0
"1981-07";815152250000.0
"1981-10";820204500000.0
"1982-01";818575500000.0
"1982-04";832993000000.0
"1982-07";841580500000.0
"1982-10";850640250000.0
"1983-01";868353250000.0
"1983-04";894712000000.0
"1983-07";922294750000.0
"1983-10";948676500000.0
"1984-01";977013500000.0
"1984-04";1002400250000.0
"1984-07";1021062500000.0
"1984-10";1037137750000.0001
"1985-01";1057541999999.9999
"1985-04";1073721749999.9999
"1985-07";1096693250000.0
"1985-10";1111023500000.0
"1986-01";1126973500000.0
"1986-04";1136335000000.0
"1986-07";1151917250000.0
"1986-10";1164406750000.0
"1987-01";1180539000000.0
"1987-04";1201540000000.0
"1987-07";1221138750000.0
"1987-10";1251998500000.0
"1988-01";1268343000000.0
"1988-04";1297509000000.0
"1988-07";1320708750000.0
"1988-10";1349877250000.0
"1989-01";1377813250000.0
"1989-04";1403115750000.0
"1989-07";1423841250000.0
"1989-10";1436809250000.0
"1990-01";1468175250000.0
"1990-04";1490007000000.0
"1990-07";1503779000000.0
"1990-10";1501183250000.0
"1991-01";1508794500000.0
"1991-04";1531715500000.0
"1991-07";1551484250000.0
"1991-10";1566135000000.0
"1992-01";1590775500000.0
"1992-04";1617690750000.0
"1992-07";1641660250000.0
"1992-10";1670200750000.0
"1993-01";1682364750000.0
"1993-04";1702234750000.0
"1993-07";1720524500000.0
"1993-10";1753434500000.0
"1994-01";1778913000000.0
"1994-04";1811732750000.0
"1994-07";1832768750000.0
"1994-10";1863822000000.0
"1995-01";1880572250000.0
"1995-04";1895249250000.0
"1995-07";1920781250000.0
"1995-10";1943146500000.0
"1996-01";1967117000000.0
"1996-04";2008210000000.0
"1996-07";2032852000000.0
"1996-10";2064942750000.0002
"1997-01";2090663750000.0002
"1997-04";2129706250000.0002
"1997-07";2165705750000.0
"1997-10";2191476749999.9998
"1998-01";2216620000000.0
"1998-04";2242424750000.0
"1998-07";2280274250000.0
"1998-10";2323497750000.0
"1999-01";2354316000000.0
"1999-04";2381038000000.0
"1999-07";2420464000000.0
"1999-10";2474844500000.0
"2000-01";2500714250000.0
"2000-04";2561919750000.0
"2000-07";2579956250000.0
"2000-10";2609756250000.0
"2001-01";2618219750000.0
"2001-04";2649455500000.0
"2001-07";2649073500000.0
"2001-10";2665073500000.0
"2002-01";2697238000000.0
"2002-04";2723301750000.0
"2002-07";2748012750000.0
"2002-10";2767865750000.0
"2003-01";2795876750000.0
"2003-04";2828218750000.0
"2003-07";2891831500000.0
"2003-10";2942318750000.0
"2004-01";2980042250000.0
"2004-04";3027246750000.0
"2004-07";3075835000000.0
"2004-10";3130606250000.0
"2005-01";3190334250000.0
"2005-04";3227505500000.0
"2005-07";3285718250000.0
"2005-10";3333079000000.0
"2006-01";3400983250000.0
"2006-04";3437451500000.0
"2006-07";3466867250000.0
"2006-10";3509307000000.0
"2007-01";3552142250000.0
"2007-04";3595590750000.0
"2007-07";3633750750000.0
"2007-10";3670375250000.0
"2008-01";3662759750000.0
"2008-04";3701402750000.0
"2008-07";3708796750000.0
"2008-10";3639885750000.0
"2009-01";3598636750000.0
"2009-04";3588212500000.0
"2009-07";3605078000000.0
"2009-10";3657005250000.0
"2010-01";3680337500000.0
"2010-04";3731524500000.0
"2010-07";3769979250000.0
"2010-10";3810210750000.0
"2011-01";3821457000000.0
"2011-04";3874047250000.0
"2011-07";3897962500000.0
"2011-10";3949115000000.0
"2012-01";4004939500000.0
"2012-04";4038064250000.0
"2012-07";4064287750000.0
"2012-10";4089715750000.0
"2013-01";4142397750000.0
"2013-04";4159481500000.0
"2013-07";4212187000000.0
"2013-10";4270784249999.9995
"2014-01";4275733000000.0
"2014-04";4356441500000.0
"2014-07";4429959000000.0
"2014-10";4459613500000.0
"2015-01";4492605500000.0
"2015-04";4555324750000.0
"2015-07";4582773250000.0
"2015-10";4588593000000.0
"2016-01";4602282500000.0
"2016-04";4660183000000.0
"2016-07";4699912000000.0
"2016-10";4744811250000.0
"2017-01";4790637500000.0
"2017-04";4839780750000.0
"2017-07";4897018500000.0
"2017-10";4957957250000.0
"2018-01";5010261750000.0
"2018-04";5102981000000.0
"2018-07";5164551000000.0
"2018-10";5216285000000.0
